DUR	Of course, they would be closing in 5 minutes, so I would have to hurry up or get it the next day.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long until they close? Which time unit best describes it?
DUR	"2.5 - Number of hours after Rumsfeld learnt that Osama bin Laden was a suspect in the 11 September attacks that he brought up reasons to ""hit"" Iraq."	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	"How long after Rumsfeld learnt that Osama bin Laden was a suspect did he bring up reasons to ""hit"" Iraq? Which time unit best describes it?"
DUR	"Unemployment stays low because half the population oversees those ""out of the workforce,"" the dregs, the rabble, the enemy?"	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long does unemployment stay low? Which time unit best describes it?
TYP	I recently took a rescue puppy to this clinic, and I was SHOCKED at how well Romeo and my family were treated.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does taking a rescue puppy to the clinic usually happen? Which time unit best describes it?
DUR	The food continues to be very good—deli sandwiches, homemade soups, fresh salads.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has the food continued to be very good? Which time unit best describes it?
DUR	It is never over, especially when a real solution, a real treatment for our sickness, is yet to begin.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long does the sickness persist when a real treatment is yet to begin? Which time unit best describes it?
DUR	Should get some survival skills before setting out on your own.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long should it take to get some survival skills before setting out on your own? Which time unit best describes it?
FREQ	He kept saying different arrival/delivery dates and didn't seem terribly apologetic.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often did he say different arrival or delivery dates? Which time unit best describes it?
FREQ	My answer is that we don't text speak here... we type in English.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do they type in English? Which time unit best describes it?
DUR	I was told to take my coffee to go if I wanted to finish it.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long would it take to finish the coffee? Which time unit best describes it?
DUR	If anyone is interested in listening to this song, and in offering their opinion, whether it be positive or negative, I’d appreciate it.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does it take to listen to this song? Which time unit best describes it?
DUR	MUST READ - Do not waste your time in this store.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long would you typically waste your time in this store? Which time unit best describes it?
DUR	He is gant looking in his flank area and is losing topline muscle.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long does it take for him to lose topline muscle? Which time unit best describes it?
DUR	He seemed to understand how important it was for us to make sure the whole house was sprayed, so he took his time.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did he take to make sure the whole house was sprayed? Which time unit best describes it?
DUR	"Lopez's 1561 book ""Libro de la invencion liberal y arte del Juego del Acedraz"" became THE classic on chess openings, including the one that bears his name."	1 2 3 4 5 6 7 8 9 120 121 122	1.5291249697362676e-14 5.890006839530834e-10 2.5628217033951704e-06 0.0003803288616050351 0.004246905247620703 0.018704964177227536 0.12543280829498968 0.35294802591125274 0.4982844040965849 0.0 0.0 0.0	How long did it remain the classic on chess openings? Which time unit best describes it?
DUR	This applies especially in the high Arctic, where the ice cover is expected to diminish substantially, with the effect that the surface absorption of solar radiation will greatly increase.	1 2 3 4 5 6 7 8 9 120 121 122	5.572730351111348e-12 6.296884648723474e-08 8.037356297882278e-05 0.004603998728773229 0.02870209972984776 0.08174969138345407 0.25935558127072855 0.3661526110790698 0.25935558127072855 0.0 0.0 0.0	How long will it take for the ice cover to diminish substantially? Which time unit best describes it?
DUR	At my appointment, the girl helping me was unable to adequately lace up some of the dresses.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long did it take to lace up the dresses? Which time unit best describes it?
DUR	We have had the cat for 10 years and do n't want to leave it.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long have they had the cat? Which time unit best describes it?
FREQ	We've only had one urgent issue to deal with, and they were very prompt in their response.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often do we have urgent issues to deal with? Which time unit best describes it?
FREQ	If your coach has no fights and you never see him train and sweat, something is wrong!	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often does the coach train and sweat? Which time unit best describes it?
DUR	Sure, Google, although this would put it on course for global domination of the internet by 2014.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long would it take for Google to achieve global domination of the internet? Which time unit best describes it?
DUR	So, I don't think the bird doesn't trust you, but still doesn't like the cage.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long does the bird dislike the cage? Which time unit best describes it?
