label_type	anchor_text	anchor_indices	anchor_values	anchor_question	positive_text	positive_indices	positive_values	positive_question	negative_text	negative_indices	negative_values	negative_question
TYP	he said ` ` a political workshop on many levels''was planned for.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time is the political workshop usually planned for? Please choose a time unit that best describes it from the options.	us blue-chip stocks rose here, but quickly whittled away at a 20-point early gain spurred by a sharp drop in long-term interest rates.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	At what time do blue-chip stocks usually rise? Please choose a time unit that best describes it from the options.	it declined 0.03 percentage point to 12.65 percent from 13 percent as companies reduced sales of corporate bonds.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time do companies usually experience a decline in corporate bond sales? Please choose a time unit that best describes it from the options.
TYP	winds and rains brought by typhoon sinlaku will affect taiwan most intensely from saturday evening to sunday morning, taiwan's central bureau said.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does the central bureau usually announce such weather updates? Please choose a time unit that best describes it from the options.	at least 17 people burned to death when four vehicles burst into flames in a crash in south-west nigeria, police said.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	When do the police usually provide updates about incidents like this? Please choose a time unit that best describes it from the options.	the king's brother, prince faisal, as well as other jordanian officials and the usaid's deputy director fred schieck, who flew specially to jordan, were also at hand for the final farewell to foley.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	At what time do officials usually fly to jordan for significant events? Please choose a time unit that best describes it from the options.
TYP	oman signed with shell, total and partex a 1.4 billion dollar deal to launch the upstream phase of the project, which includes drilling, extraction and building the gas pipelines.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does Oman usually sign deals like this? Please choose a time unit that best describes it from the options.	rebels in eastern democratic republic of congo have violated a fragile ceasefire and seized more territory, the un said, as kinshasa rejected india's offer of more peacekeeping troops.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does the UN usually make statements about the actions of the rebels? Please choose a time unit that best describes it from the options.	moscow-as the ballot count continued, vladimir putin, russia's law and order candidate, appeared headed toward victory after the second democratic presidential elections held here since the fall of communism.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	At what time does the ballot counting usually continue? Please choose a time unit that best describes it from the options.
TYP	baghdad, july 16 (xinhua)-an american soldier was killed in bomb attack in iraq's northern province of nineveh, the u. s. military said.	18 19 20 21 22 23 24 120 121 122 123 124	0.683 0.157 0.001 0.0 0.0 0.001 0.157 0.0 0.0 0.0 0.0 0.0	When does the military usually provide such updates about incidents like this? Please choose a time unit that best describes it from the options.	many divers who competed in the synchro portion will continue in individual competition.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	At what time do the divers usually continue in individual competition? Please choose a time unit that best describes it from the options.	eighty young teachers from chinese elementary and high schools will leave on a three-week visit to japan.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	At what time do the young teachers usually leave for their visit to Japan? Please choose a time unit that best describes it from the options.
TYP	hundreds of people gathered in this black township outside johannesburg to honour tsietsi mashinini, one of the leaders of the so-called soweto uprising of june 16, 1976.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time do people usually gather to honour tsietsi mashinini? Please choose a time unit that best describes it from the options.	burmese opposition leader aung san suu kyi remained in seclusion at her family home on the shores of rangoon's inya lake, receiving only select visitors from among the throng at her gate.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When does aung san suu kyi typically remain in seclusion? Please choose a time unit that best describes it from the options.	rubber futures in singapore closed weaker on smaller volumes, dealers said.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When do rubber futures usually close? Please choose a time unit that best describes it from the options.
TYP	lee westwood ended a two-year drought with a two-shot victory at the portugal masters.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.001 0.0 0.0 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0	When does a player usually end a drought like this in professional golf? Please choose a time unit that best describes it from the options.	the head of the council of europe praised the reform plans of turkey's new government, stating that once implemented turkey would meet european union criteria.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does the head of the council of europe usually praise reform plans? Please choose a time unit that best describes it from the options.	the bailong remained flooded, with only the tops of street lamps visible above the water line, an afp correspondent saw.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does the bailong usually experience flooding? Please choose a time unit that best describes it from the options.
TYP	, after studying readings from nearby instruments, meteorologists determined that the official thermometer at the greenville-spartanburg airport in south carolina was reading too high.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time do meteorologists usually make determinations about thermometer readings? Please choose a time unit that best describes it from the options.	feinstein, at a long beach youth crime summit press conference, tried repeatedly to talk about crime and kids _ but spent more time rebuffing questions about her future.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When does Feinstein usually spend time rebuffing questions about her future? Please choose a time unit that best describes it from the options.	the new arrivals come in time for the most sacred holidays in the jewish calendar, rosh hashanah, which begins.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does rosh hashanah usually begin? Please choose a time unit that best describes it from the options.
TYP	the israeli cabinet approved the decision.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does the israeli cabinet usually approve decisions? Please choose a time unit that best describes it from the options.	the tournament is being played at the siam country club's 72-par plantation course in pattaya.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time is the tournament usually played? Please choose a time unit that best describes it from the options.	daily nation--the united nations said in geneva that the approach of next week's first anniversary of rwandan genocide could be stoking ethnic tensions in neighbouring burundi.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When does the United Nations typically make such statements? Please choose a time unit that best describes it from the options.
TYP	anees said trouble erupted after members of the shiite community staged a demonstration outside their mosque against local sunnis who allegedly chanted anti-shiite slogans during a religious rally last week.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When do members of the shiite community usually stage demonstrations? Please choose a time unit that best describes it from the options.	prices are quadruple their rates before the balkans conflict, and 50 people were standing in line for bread at one store.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	At what time do people usually stand in line for bread at the store? Please choose a time unit that best describes it from the options.	the announcement did not specify when the swap would begin, but farc spokesman raul reyes had said that it would happen a few days after an agreement.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	When do the swaps usually begin after an agreement is made? Please choose a time unit that best describes it from the options.
TYP	a woman was hit in the face in sevastopol as pro-russians hurled stones at ukrainian nationalists out in support of their candidate in forthcoming presidential elections.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0 0.0	When does a woman usually get hit in the face during such conflicts? Please choose a time unit that best describes it from the options.	the military branch of russia's supreme court annulled a defense minister's order that served as a foundation for the controversial conviction of a military journalist on treason charges.	18 19 20 21 22 23 24 120 121 122 123 124	0.157 0.683 0.157 0.001 0.0 0.0 0.001 0.0 0.0 0.0 0.0 0.0	When does the military branch of the supreme court typically annul defense minister's orders? Please choose a time unit that best describes it from the options.	at a breakfast at the volkswagen plant, the company donated a new chico, a south african-built model of the golf, to mandela's childrens'fund.	18 19 20 21 22 23 24 120 121 122 123 124	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	When does the company usually make donations like this? Please choose a time unit that best describes it from the options.
